actor,movie_or_TV_name
Jack Shearer,George & Leo
Jack Shearer,D.A. Pursuit of Justice
Jack Shearer,EZ Streets
Jack Shearer,The Larry Sanders Show
Jack Shearer,Nash Bridges
Jack Shearer,Star Trek: First Contact
Jack Shearer,L.A. Firefighters
Jack Shearer,Up Close & Personal
Jack Shearer,Tracey Takes On...
Jack Shearer,Bless This House
Jack Shearer,The Right to Remain Silent
Jack Shearer,The Price of Love
Jack Shearer,Murder One
Jack Shearer,The Client
Jack Shearer,Pig Sty
Jack Shearer,Star Trek: Deep Space Nine
Jack Shearer,The Usual Suspects
Jack Shearer,Mad About You
Jack Shearer,Disclosure
Jack Shearer,Picket Fences
Jack Shearer,White Mile
Jack Shearer,Tonya & Nancy: The Inside Story
Jack Shearer,The Yarn Princess
Jack Shearer,The Last Seduction
Jack Shearer,Viper
Jack Shearer,The Day My Parents Ran Away
Jack Shearer,Seinfeld
Michael Ansara,The Greatest Story Ever Told
Michael Ansara,"Quick, Let's Get Married"
Michael Ansara,Rawhide
Michael Ansara,The Outer Limits
Michael Ansara,Perry Mason
Michael Ansara,Burke's Law
Michael Ansara,Kraft Suspense Theatre
Michael Ansara,The Farmer's Daughter
Michael Ansara,Wagon Train
Michael Ansara,Wide Country
Michael Ansara,Tales of Wells Fargo
Michael Ansara,The Comancheros
Michael Ansara,Voyage to the Bottom of the Sea
Michael Ansara,The Untouchables
Michael Ansara,The Barbara Stanwyck Show
Michael Ansara,The Westerner
Michael Ansara,The Rebel
Michael Ansara,Law of the Plainsman
Michael Ansara,The Rifleman
Michael Ansara,Playhouse 90
Michael Ansara,Zane Grey Theatre
Michael Ansara,Naked City
Michael Ansara,Frontier Doctor
Michael Ansara,Broken Arrow
Michael Ansara,The Sad Sack
Michael Ansara,The Tall Stranger
Michael Ansara,Quantez
Michael Ansara,Hawkeye and the Last of the Mohicans
Michael Ansara,Tales of the 77th Bengal Lancers
Michael Ansara,Last of the Badmen
Michael Ansara,The Adventures of Rin Tin Tin
Michael Ansara,The Ten Commandments
Michael Ansara,Gun Brothers
Michael Ansara,Pillars of the Sky
Michael Ansara,Alfred Hitchcock Presents
Michael Ansara,The Lone Ranger
Michael Ansara,Medic
Michael Ansara,Diane
Michael Ansara,The 20th Century-Fox Hour
Michael Ansara,Abbott and Costello Meet the Mummy
